phrase_number,composition_number,cadence_role_cantz,cadence_alter,cadence_final_tone,cadence_role_tenz,cadence_kind,cadence_final_tone_before,cadence_final_tone_after,cadence_kind_before,cadence_kind_after,final_cadence
"DC0718.7: Et qu'on y voye habondance de fleurs,",DC0718: Petit jardin a Vénus consacré,None,,D,None,Plagal,D,B-flat,Authentic,Authentic,G
"DC0718.6: Yver, esté, ny seiche la verdure,",DC0718: Petit jardin a Vénus consacré,S,,D,T,Authentic,G,D,Authentic,Plagal,G
"DC0718.2: Secret tesmoing du plus grand de mes heurs,",DC0718: Petit jardin a Vénus consacré,S,,G,T,Authentic,B-flat,D,Authentic,Authentic,G
"DC0718.1: Petit jardin à venus consacré,",DC0718: Petit jardin a Vénus consacré,S,,B-flat,T,Authentic,None,G,None,Authentic,G
"DC0711.8: Amour le commande,",DC0711: Cent baysers au departir,None,,D,None,Plagal,A,None,Phrygian,None,D
"DC0711.6: Cent baisers au departir,",DC0711: Cent baysers au departir,S,,A,T,Phrygian,D,D,Authentic,Plagal,D
"DC0711.5: Premier que d'icy partir,",DC0711: Cent baysers au departir,S,,D,T,Authentic,G,A,Authentic,Phrygian,D
"DC0711.4: Je les vous demande,",DC0711: Cent baysers au departir,S,,G,T,Authentic,D,D,Phrygian,Authentic,D
"DC0711.3: Cent baisers au departir,",DC0711: Cent baysers au departir,B,"Displaced, Inverted",D,Ct,Phrygian,D,G,Phrygian,Authentic,D
"DC0711.1: Cent baisers au departir,",DC0711: Cent baysers au departir,B,"Displaced, Inverted",D,Ct,Phrygian,None,D,None,Phrygian,D
DC0714.7: Et vole comme une arrondelle.,DC0714: De ceans jusque chez m'amye,S,,G,T,Authentic,B-flat,None,Authentic,None,G
"DC0714.6: En tout temps la voye m'est belle,",DC0714: De ceans jusque chez m'amye,S,,B-flat,T,Authentic,D,G,CadInCad,Authentic,G
"DC0714.5: Pleuve, vente il ne m'en chault pas,",DC0714: De ceans jusque chez m'amye,T,"Displaced, Inverted, Evaded",D,Ct,CadInCad,G,B-flat,Authentic,Authentic,G
"DC0714.2: Bien sçay combien y a de pas,",DC0714: De ceans jusque chez m'amye,S,,G,T,Authentic,D,D,Authentic,CadInCad,G
"DC0714.1: De ceans jusques chez m'amye,",DC0714: De ceans jusque chez m'amye,S,,D,T,Authentic,None,G,None,Authentic,G
"DC0715.8: La mort est pres, qui t'en rendra delivre.",DC0715: Or perdz-je celle en qui gist tout mon bien,S,,G,T,Authentic,C,None,Authentic,None,G
"DC0715.7: Prendz donc confort en ta douleur profonde,",DC0715: Or perdz-je celle en qui gist tout mon bien,S,,C,T,Authentic,D,G,Authentic,Authentic,G
"DC0715.6: C'est que sans elle, icy je ne puis vivre.",DC0715: Or perdz-je celle en qui gist tout mon bien,Ct,"Displaced, Evaded",D,T,Authentic,D,C,Authentic,Authentic,G
"DC0715.5: Un poinct y a, ou mon salut je fonde,",DC0715: Or perdz-je celle en qui gist tout mon bien,S,,D,T,Authentic,G,D,Authentic,Authentic,G
"DC0715.2: Et sans laquelle, ha je dis fi du monde,",DC0715: Or perdz-je celle en qui gist tout mon bien,S,,G,T,Authentic,B-flat,D,Authentic,Authentic,G
"DC0715.1: Or perdz-je celle en qui gist tout mon bien,",DC0715: Or perdz-je celle en qui gist tout mon bien,S,,B-flat,T,Authentic,None,G,None,Authentic,G
DC0717.8: Veu qu'il commande aux dieux.,"DC0717: Petite damoyselle, Amour donnez lieu",S,,G,T,Authentic,D,None,Plagal,None,G
"DC0717.7: De ne plus contredire,","DC0717: Petite damoyselle, Amour donnez lieu",None,,D,None,Plagal,D,G,Authentic,Authentic,G
"DC0717.6: Et feras beaucoup mieulx,","DC0717: Petite damoyselle, Amour donnez lieu",S,,D,T,Authentic,B-flat,D,Authentic,Plagal,G
"DC0717.5: Il fault craindre son ire,","DC0717: Petite damoyselle, Amour donnez lieu",S,Displaced,B-flat,Ct,Authentic,D,D,Plagal,Authentic,G
"DC0717.2: A amour donnez lieu,","DC0717: Petite damoyselle, Amour donnez lieu",None,,D,None,Plagal,C,B-flat,Authentic,Authentic,G
"DC0717.1: Petite damoyselle,","DC0717: Petite damoyselle, Amour donnez lieu",S,Evaded,C,T,Authentic,None,D,None,Plagal,G
"DC0719.4: Souffrir m'est doulx, et mon mal j'estime heur.",DC0719: Je me veulx tant a son vouloir offrir,S,,G,T,Authentic,B-flat,None,Authentic,None,G
"DC0719.3: Sçachant qu'elle a plaisir me veoir souffrir,",DC0719: Je me veulx tant a son vouloir offrir,S,,B-flat,T,Authentic,G,G,Authentic,Authentic,G
"DC0719.2: Que ne requiers remede à ma langueur,",DC0719: Je me veulx tant a son vouloir offrir,S,,G,T,Authentic,D,B-flat,Plagal,Authentic,G
"DC0719.1: Je me veulx tant à son vouloir offrir,",DC0719: Je me veulx tant a son vouloir offrir,None,,D,None,Plagal,None,G,None,Authentic,G
DC0725.8: Mais las on crainct tousjours ce qu'on tient cher.,DC0725: Ce qu'il [=qui] me faict si aysément jaloux,S,,F,T,Authentic,F,None,CadInCad,None,F
DC0725.7: Cela ne vient qu'a toy bien ne me fie:,DC0725: Ce qu'il [=qui] me faict si aysément jaloux,S,,F,T,CadInCad,C,F,Authentic,Authentic,F
"DC0725.6: Ne vueilles poinct pour aultant te fascher,",DC0725: Ce qu'il [=qui] me faict si aysément jaloux,S,,C,T,Authentic,A,F,Phrygian,CadInCad,F
"DC0725.5: O mon seul bien, et d'ou despend ma vie,",DC0725: Ce qu'il [=qui] me faict si aysément jaloux,Ct,Displaced,F,B,Authentic,F,A,Authentic,Phrygian,F
"DC0725.2: Sçais tu que cest c'est ta grace m'amye,",DC0725: Ce qu'il [=qui] me faict si aysément jaloux,S,,F,T,Authentic,C,F,Authentic,Authentic,F
"DC0725.1: Ce qu'il me faict si aisement jaloux,",DC0725: Ce qu'il [=qui] me faict si aysément jaloux,S,,C,T,Authentic,None,F,None,Authentic,F
DC0727.9: En un lieu sans querelle.,DC0727: Quand tant me mectz devant mes yeulx,S,,F,T,Authentic,C,None,Authentic,None,F
"DC0727.8: Avec foy à peine jamais,",DC0727: Quand tant me mectz devant mes yeulx,T,"Displaced, Inverted, Evaded",C,Ct,Authentic,A,F,Phrygian,Authentic,F
"DC0727.7: Qu'elle nourrist grace, et beaulté en paix,",DC0727: Quand tant me mectz devant mes yeulx,Ct,Displaced,A,B,Phrygian,A,C,Phrygian,Authentic,F
"DC0727.6: Pour tout asseuré,",DC0727: Quand tant me mectz devant mes yeulx,T,Inverted,A,S,Phrygian,F,A,Authentic,Phrygian,F
"DC0727.5: Mais si n'ay-je peur ny demie,",DC0727: Quand tant me mectz devant mes yeulx,Ct,Displaced,F,B,Authentic,F,A,Authentic,Phrygian,F
"DC0727.2: De graces en m'amye,",DC0727: Quand tant me mectz devant mes yeulx,T,Displaced,F,B,Authentic,C,F,Authentic,Authentic,F
"DC0727.1: Quand tant me mectz devant mes yeulx,",DC0727: Quand tant me mectz devant mes yeulx,Ct,Displaced,C,B,Authentic,None,F,None,Authentic,F
DC0729.8: Cest usurpateur de mon ayse.,DC0729: Pourquoy fais-tu à aultre chere,S,,G,T,Authentic,C,None,CadInCad,None,G
"DC0729.7: Pleust aux Dieux le veoir au sarcueil,",DC0729: Pourquoy fais-tu à aultre chere,S,,C,T,CadInCad,C,G,CadInCad,Authentic,G
"DC0729.6: Dis-je alors et si l'on te baise,",DC0729: Pourquoy fais-tu à aultre chere,S,Incomplete,C,T,CadInCad,C,C,Plagal,CadInCad,G
"DC0729.5: Que n'ay-je d'elle tel accueil,",DC0729: Pourquoy fais-tu à aultre chere,S,,A,T,Authentic,G,C,Authentic,Plagal,G
"DC0729.2: Tant seulement du clin de l'œil,",DC0729: Pourquoy fais-tu à aultre chere,S,,G,T,Authentic,C,A,CadInCad,Authentic,G
"DC0729.1: Pourquoy fais-tu à aultre chere,",DC0729: Pourquoy fais-tu à aultre chere,S,,C,T,CadInCad,None,G,None,Authentic,G
DC0619.8: Rossignolet sonne la dance.,DC0619: Il n'est que d'estre sur l'herbette,S,,F,T,Authentic,G,None,Authentic,None,F
"DC0619.6: Et doulce en fut l’experience,",DC0619: Il n'est que d'estre sur l'herbette,S,,G,T,Authentic,F,F,Authentic,Authentic,F
"DC0721.6: Et que c'est, je ne diray point,",DC0721: J'ay baisé m'amye à mon aise,S,,C,T,Authentic,A,None,Phrygian,None,C
"DC0721.5: Pour me contenter, reste un si,",DC0721: J'ay baisé m'amye à mon aise,S,,A,T,Phrygian,F,C,Authentic,Authentic,C
"DC0721.2: Et tenu nue à ma mercy,",DC0721: J'ay baisé m'amye à mon aise,S,,F,T,Authentic,C,A,Authentic,Phrygian,C
"DC0721.1: J'ay baisé m'amye à mon aise,",DC0721: J'ay baisé m'amye à mon aise,T,"Displaced, Inverted, Evaded",C,Ct,Authentic,None,F,None,Authentic,C
DC0720.8: Confesser lors qu'ay à moy trop plus qu'eulx.,DC0720: O qui aura sur mon heur advantage,T,"Displaced, Inverted, Evaded",C,Ct,CadInCad,C,None,Authentic,None,C
"DC0720.7: Et qu'il me faict leur jalouzie craindre,",DC0720: O qui aura sur mon heur advantage,T,"Displaced, Inverted, Evaded",C,Ct,Authentic,G,C,Authentic,CadInCad,C
"DC0720.6: En son amour d'un seul traict de ses yeulx,",DC0720: O qui aura sur mon heur advantage,S,,G,T,Authentic,G,C,CAD NDLT,Authentic,C
"DC0720.5: Perfaicte assez elle est pour deux contraindre,",DC0720: O qui aura sur mon heur advantage,S,Displaced,G,B,CAD NDLT,C,G,Authentic,Authentic,C
"DC0720.2: O qui pourra en lieu si hault attaindre,",DC0720: O qui aura sur mon heur advantage,S,,C,T,Authentic,C,G,CadInCad,CAD NDLT,C
"DC0720.1: O qui aura sur mon heur advantage,",DC0720: O qui aura sur mon heur advantage,Ct,"Displaced, Inverted",C,S,CadInCad,None,C,None,Authentic,C
"DC0617.1: Si le povoir de Diane a esté,",DC0617: Si le pouvoir de Diane a esté,S,,G,T,Authentic,G,F,Authentic,Authentic,F
DC0424.8: Se paissent fleurs durant la prime vere.,DC0424: Si me voyez face triste et dolente,S,,G,T,Authentic,G,None,Authentic,None,G
"DC0424.7: Comme des rays d'un phoebus gratieux,",DC0424: Si me voyez face triste et dolente,S,,A,T,Authentic,None,G,None,Authentic,G
"DC0424.6: Le seul soleil, qu'en ce monde revere,",DC0424: Si me voyez face triste et dolente,Ct,Displaced,G,B,CAD NDLT,C,G,Authentic,Authentic,G
"DC0424.5: Car ma vie est aux rayons de ses yeulx,",DC0424: Si me voyez face triste et dolente,S,Evaded,C,T,Authentic,G,G,Authentic,CAD NDLT,G
"DC0424.2: Un tainct passé ou mort pour dire mieulx,",DC0424: Si me voyez face triste et dolente,S,,G,T,Authentic,G,C,Authentic,Authentic,G
DC0423.8: Faict qu'en contentement je soye.,DC0423: Si j'ay grand desir de la veoir,S,,G,T,Authentic,C,None,Authentic,None,G
"DC0423.6: Et de moy, j'en ay plus grand joye,",DC0423: Si j'ay grand desir de la veoir,S,"Evaded, Displaced, Incomplete",C,Ct,Authentic,D,G,Plagal,Authentic,G
"DC0423.5: Quand je suis avec c'est sa vie,",DC0423: Si j'ay grand desir de la veoir,,,D,,Plagal,G,C,Authentic,Authentic,G
"DC0423.2: Elle n'en a pas moins d'envie,",DC0423: Si j'ay grand desir de la veoir,S,,G,T,Authentic,None,D,None,Plagal,G
DC0422.8: Souffrir ne peult pour apres fin avoir.,DC0422: Le temps vouldroit de soy trop presumer,S,,G,T,Authentic,D,None,Plagal,None,G
"DC0422.7: Car amytié constante, et bien certaine,",DC0422: Le temps vouldroit de soy trop presumer,None,,D,None,Plagal,A,G,Authentic,Authentic,G
"DC0422.6: Qui monstre donc en cela son pouvoir,",DC0422: Le temps vouldroit de soy trop presumer,S,,A,T,Authentic,D,D,Authentic,Plagal,G
"DC0422.3: D’entre noz deux il cuidoit consumer,",DC0422: Le temps vouldroit de soy trop presumer,S,,D,T,CadInCad,G,G,Authentic,Authentic,G
"DC0422.2: Si l’amytié plus cœleste qu’humaine,",DC0422: Le temps vouldroit de soy trop presumer,S,,G,T,Authentic,D,D,Authentic,CadInCad,G
"DC0422.1: Le temps vouldroit de soy trop presumer,",DC0422: Le temps vouldroit de soy trop presumer,Ct,"Displaced, Inverted",D,S,Authentic,None,G,None,Authentic,G
DC0421.8: Ou je prens plus d'esbatement.,DC0421: Une safrette safrettant,S,,G,T,Authentic,C,None,Authentic,None,G
DC0421.6: Et vous la trousse gayement,DC0421: Une safrette safrettant,S,,E,T,Phrygian,G,C,Authentic,Authentic,G
"DC0421.2: A qui fretilloit le derriere,",DC0421: Une safrette safrettant,S,,G,T,Authentic,C,C,Authentic,Authentic,G
DC0420.8: Voila que c’est de triqueter.,DC0420: Robin vouloit sa femme battre,S,,G,T,Authentic,G,None,Plagal,None,G
"DC0420.5: Car il frappa trop rudement,",DC0420: Robin vouloit sa femme battre,S,,E,T,Phrygian,G,C,Authentic,Authentic,G
"DC0420.2: Avant que monter à cheval,",DC0420: Robin vouloit sa femme battre,S,,G,T,Authentic,None,E,None,Phrygian,G
DC0614.5: Car comme moy un chascun le desire,DC0614: Mon ami est en grace si parfaict,B,"Inverted, Displaced",G,Ct,CAD NDLT,G,D,CAD NDLT,Authentic,C
"DC0614.2: Que d’un chascun à soy le cœur il tire,",DC0614: Mon ami est en grace si parfaict,B,"Inverted, Displaced",G,Ct,CAD NDLT,C,G,Authentic,CAD NDLT,C
"DC0424.1: Si me voyez face triste, et dolente,",DC0424: Si me voyez face triste et dolente,Ct,"Inverted, Incomplete",G,T,Authentic,None,G,None,Authentic,G
"DC0422.5: Sur l’inconstant, et ce qui souffre peine,",DC0422: Le temps vouldroit de soy trop presumer,Ct,Displaced,D,T,Authentic,D,A,Authentic,Authentic,G
"DC0422.4: Il n’a povoir que sur chose mondaine,",DC0422: Le temps vouldroit de soy trop presumer,S,,G,T,Authentic,D,D,CadInCad,Authentic,G
"DC0421.7: Voila dict elle la maniere,",DC0421: Une safrette safrettant,T,"Displaced, Evaded, Inverted",C,Ct,Authentic,E,G,Phrygian,Authentic,G
"DC0421.4: De lui rabiller sa croupiere,",DC0421: Une safrette safrettant,S,,G,T,Authentic,C,E,Authentic,Phrygian,G
"DC0420.7: Mourut quasi subitement,",DC0420: Robin vouloit sa femme battre,,,G,,Plagal,E,G,Phrygian,Authentic,G
DC0419.8: Femme jamais n’est destrapée.,"DC0419: Veoir, deviser et converser",S,Displaced,F,T,Authentic,C,None,Authentic,None,F
"DC0419.7: Qui de sa cautelle perverse,","DC0419: Veoir, deviser et converser",Ct,Displaced,C,B,Authentic,F,F,Authentic,Authentic,F
"DC0419.6: Tout engluer telle pipée,","DC0419: Veoir, deviser et converser",S,Evaded,F,T,Authentic,G,C,Authentic,Authentic,F
"DC0419.5: Sathan y vient à la traverse,","DC0419: Veoir, deviser et converser",S,,G,T,Authentic,F,F,Authentic,Authentic,F
"DC0419.2: Masle, et femelle à fois diverse,","DC0419: Veoir, deviser et converser",S,Displaced,F,T,Authentic,None,G,None,Authentic,F
"DC0418.6: Disent partout je l’ay vendu,",DC0418: Si vous l'avez rendez le moy,S,"Displaced, Evaded",C,Ct,Authentic,F,C,Authentic,Authentic,C
"DC0418.4: Mon petit coeur de franc courage,",DC0418: Si vous l'avez rendez le moy,S,,F,T,Authentic,F,C,Authentic,Authentic,C
DC0417.8: Pour passer tout ennuy.,DC0417: Rossignolet qui chante au verd bois,None,,C,None,Plagal,G,C,Authentic,Plagal,C
DC0417.7: Cueiller irons la violette,DC0417: Rossignolet qui chante au verd bois,S,Displaced,G,B,Authentic,C,C,Authentic,Plagal,C
"DC0417.6: Car je suis vostre amy,",DC0417: Rossignolet qui chante au verd bois,T,"Displaced, Inverted, Incomplete, Evaded",C,Ct,Authentic,G,G,Authentic,Authentic,C
DC0417.4: Dont tous les jours il m’en ennuye:,DC0417: Rossignolet qui chante au verd bois,S,Incomplete,G,T,Authentic,C,C,Authentic,Authentic,C
"DC0417.3: Je l’ay perduë passé trois moys,",DC0417: Rossignolet qui chante au verd bois,S,,C,T,Authentic,C,G,Authentic,Authentic,C
"DC0417.1: Rossignolet qui chante au verd bois,",DC0417: Rossignolet qui chante au verd bois,Ct,Displaced,G,B,Authentic,None,C,None,Authentic,C
DC0416.10: Feis branler le chalict.,DC0416: Passant melancolie,S,,C,,Authentic,G,None,Plagal,None,C
"DC0416.7: Toute nuë sur son lict,",DC0416: Passant melancolie,None,,G,None,Plagal,F,C,Authentic,Authentic,C
"DC0416.2: Un soir apres souper,",DC0416: Passant melancolie,S,,F,T,Authentic,None,G,None,Plagal,C
DC0418.8: Car par ma foy je l’ay perdu.,DC0418: Si vous l'avez rendez le moy,S,,F,T,Authentic,F,None,Authentic,None,C
"DC0613.2: Et que me tarde l'heure,","DC0613: Et vray Dieu, qu'il m'ennuye",S,,G,T,Authentic,D,D,Phrygian,Plagal,D
"DC0613.1: Et vray Dieu qu'il m'ennuye,","DC0613: Et vray Dieu, qu'il m'ennuye",B,"Displaced, Inverted",D,S,Phrygian,None,G,None,Authentic,D
DC0415.12: Que tu es pour vray trop legier.,DC0415: Amour que tu me fais de mal,S,,F,T,Authentic,C,None,Authentic,None,F
"DC0415.11: La raison sera pour comment,",DC0415: Amour que tu me fais de mal,S,,C,T,Authentic,F,F,Authentic,Authentic,F
"DC0415.10: Qu’en toy ne me failloit fier,",DC0415: Amour que tu me fais de mal,S,"Displaced, Incomplete",F,Ct,Authentic,F,C,Authentic,Authentic,F
"DC0415.9: Dont j’ay congneu subitement,",DC0415: Amour que tu me fais de mal,T,,F,None,Authentic,F,F,CAD NDLT,Authentic,F
"DC0415.8: Quand au pres j’estois de ta face,",DC0415: Amour que tu me fais de mal,Ct,Displaced,F,B,CAD NDLT,F,F,CAD NDLT,Authentic,F
"DC0415.7: Mais trop tu faisois du fasché,",DC0415: Amour que tu me fais de mal,Ct,Displaced,F,B,CAD NDLT,D,F,Plagal,CAD NDLT,F
"DC0415.6: Comme un bon chien faict à la trace,",DC0415: Amour que tu me fais de mal,,,D,,Plagal,C,F,CAD NDLT,CAD NDLT,F
"DC0415.5: Pour un jour cent fois t’ay cherché,",DC0415: Amour que tu me fais de mal,Ct,Displaced,C,B,CAD NDLT,F,D,Authentic,Plagal,F
"DC0415.2: Sans me donner quelque allegeance,",DC0415: Amour que tu me fais de mal,T,"Inverted, Evaded, Displaced",F,Ct,Authentic,None,C,None,CAD NDLT,F
"DC0414.8: Mon sort à luy, et ma fortune,",DC0414: Je voudrois ce gentil clerc estre,S,,C,T,Authentic,F,None,Authentic,None,C
"DC0414.6: Ne tend qu’a estre serviteur,",DC0414: Je voudrois ce gentil clerc estre,Ct,Displaced,F,B,Authentic,F,C,Authentic,Authentic,C
"DC0414.2: Non pas pour grace qu’en luy treuve,",DC0414: Je voudrois ce gentil clerc estre,S,,F,T,Authentic,C,F,Plagal,Authentic,C
DC0413.8: Quand on ne peult au surplus satisfaire.,DC0413: D'un amy fainct je ne me puis deffaire,S,,F,T,Authentic,F,None,Authentic,None,F
"DC0413.7: Ha, que bien peu sert un bon repentir,",DC0413: D'un amy fainct je ne me puis deffaire,S,,F,T,Authentic,C,F,Authentic,Authentic,F
"DC0413.6: Car ma douleur ne si veulx consentir,",DC0413: D'un amy fainct je ne me puis deffaire,S,Displaced,C,Ct,Authentic,F,F,Authentic,Authentic,F
"DC0413.2: Sans ma parole, et honneur assentir,",DC0413: D'un amy fainct je ne me puis deffaire,S,,F,T,Authentic,C,C,CAD NDLT,Authentic,F
"DC0413.1: D’un amy fainct je ne me puis deffaire,",DC0413: D'un amy fainct je ne me puis deffaire,Ct,Displaced,C,None,CAD NDLT,None,F,None,Authentic,F
DC0707.8: Et pres mon feu es plus froide que glace.,DC0707: Or suis-je bien sur tous le miserable,S,,G,T,Authentic,D,None,Authentic,None,G
"DC0707.7: Toy au contraire (ha bon Dieu) tu me fuis,",DC0707: Or suis-je bien sur tous le miserable,T,"Displaced, Inverted, Evaded",D,Ct,Authentic,B-flat,G,CadInCad,Authentic,G
"DC0707.6: Et rien ne quiers, qu'avoir ta bonne grace,",DC0707: Or suis-je bien sur tous le miserable,S,,B-flat,T,CadInCad,D,D,CadInCad,Authentic,G
"DC0707.5: Car je te cerche, et en tous lieux te suis,",DC0707: Or suis-je bien sur tous le miserable,S,,D,T,CadInCad,G,B-flat,Authentic,CadInCad,G
"DC0707.2: Que devant toy mercy trouver ne puis,",DC0707: Or suis-je bien sur tous le miserable,S,,G,T,Authentic,D,D,Authentic,CadInCad,G
"DC0707.1: Or suis-je bien (sur tous) le miserable,",DC0707: Or suis-je bien sur tous le miserable,T,"Displaced, Inverted",D,Ct,Authentic,D,G,Plagal,Authentic,G
"DC0612.4: La ay-je mis le parfaict de mes heurs,",DC0612: Puisque voulez que de vous je m'absente,None,,D,None,Plagal,D,B-flat,Phrygian,Authentic,G
"DC0706.8: Se passent fleurs, durant la primevere.",DC0706: Si me voyez face triste et dolente,S,,G,T,Authentic,G,None,Authentic,None,G
"DC0706.7: Comme des rays de phoebus gratieux,",DC0706: Si me voyez face triste et dolente,Ct,"Displaced, Evaded",D,T,Authentic,A,G,Phrygian,Authentic,G
"DC0706.6: Le seul soleil qu'en ce monde revere,",DC0706: Si me voyez face triste et dolente,S,Evaded,A,T,Phrygian,B-flat,D,Authentic,Authentic,G
"DC0706.5: Car ma vie est aux rayons de ses yeulx, ",DC0706: Si me voyez face triste et dolente,T,Displaced,B-flat,B,Authentic,G,A,Authentic,Phrygian,G
"DC0706.2: Un tainct passé ou mort, pour dire mieulx,",DC0706: Si me voyez face triste et dolente,S,,G,T,Authentic,B-flat,B-flat,Plagal,Authentic,G
"DC0706.1: Si me voyez face triste, et dolente,",DC0706: Si me voyez face triste et dolente,None,,B-flat,None,Plagal,None,G,None,Authentic,G
DC0412.10: Pour le surplus de vostre argent.,DC0412: Un galland le fit et refit,S,Evaded,C,T,Authentic,G,None,Authentic,None,C
DC0412.9: Faictes le donc encore un coup,DC0412: Un galland le fit et refit,Ct,"Inverted, Incomplete, Evaded, Displaced",G,S,Authentic,C,C,Authentic,Authentic,C
"DC0412.8: Lors dict la fille, au corps gent,",DC0412: Un galland le fit et refit,S,"Displaced, Incomplete, Evaded",C,Ct,Authentic,G,G,Plagal,Authentic,C
"DC0412.6: Ce dict la fille c'est beaucoup,",DC0412: Un galland le fit et refit,S,,C,T,Authentic,G,G,Authentic,Plagal,C
"DC0412.5: Ma foy je n'en aurez pas tant,",DC0412: Un galland le fit et refit,S,,G,T,Authentic,C,C,Authentic,Authentic,C
"DC0412.2: A une fille en s'esbatant,",DC0412: Un galland le fit et refit,S,Incomplete,C,T,Authentic,None,G,None,Authentic,C
"DC0411.8: Ne recepvez, d’une si griefve offense.",DC0411: O vous mes yeulx qui avez incité,S,,C,T,Authentic,E,None,Phrygian,None,C
DC0411.7: Dont vient cela que la punition,DC0411: O vous mes yeulx qui avez incité,B,"Inverted, Displaced",E,Ct,Phrygian,A,C,Authentic,Authentic,C
"DC0411.6: Changé m’avez ô quelle recompense,",DC0411: O vous mes yeulx qui avez incité,S,,A,T,Authentic,C,E,Authentic,Phrygian,C
"DC0411.5: Ma liberté pour trop d’affection,",DC0411: O vous mes yeulx qui avez incité,Ct,Displaced,C,None,Authentic,C,A,Authentic,Authentic,C
"DC0411.2: Mon triste cœur à telle passion,",DC0411: O vous mes yeulx qui avez incité,S,,C,T,Authentic,None,C,None,Authentic,C
"DC0410.7: Et si n'ont lors de leurs dames responce,",DC0410: Si pour amans la lune est importune,S,Displaced,G,B,Authentic,C,C,Authentic,Plagal,G
"DC0410.6: Que la clerté de leurs yeulx se reconse,",DC0410: Si pour amans la lune est importune,S,,C,T,Authentic,C,G,Authentic,Authentic,G
DC0410.2: Pour la clerté qu'elle monstre de nuict,DC0410: Si pour amans la lune est importune,S,,C,T,Authentic,None,C,None,Authentic,G
"DC0611.2: Se degoise le Philomene,",DC0611: Sur l'aubépin qui est en fleur,S,,D,T,Authentic,None,D,None,Authentic,D
"DC0414.1: Je vouldrois ce gentil clerc estre,",DC0414: Je voudrois ce gentil clerc estre,None,,C,None,Plagal,None,F,None,Authentic,C
DC0705.8: Car un soleil mérite et mieulx.,DC0705: Soleil qui tout voit par ma foy,S,,G,T,Authentic,B-flat,None,Authentic,None,G
"DC0705.7: Je crains qu'en son amour te lie,",DC0705: Soleil qui tout voit par ma foy,S,,B-flat,T,Authentic,G,G,Authentic,Authentic,G
"DC0705.6: La lune, et en laissa les cieulx,",DC0705: Soleil qui tout voit par ma foy,S,,G,T,Authentic,G,B-flat,Authentic,Authentic,G
"DC0705.3: Je suis quasi jaloux de toy,",DC0705: Soleil qui tout voit par ma foy,None,,D,None,Plagal,G,G,Authentic,Authentic,G
"DC0705.2: Il ne fault ja que te le nie,",DC0705: Soleil qui tout voit par ma foy,S,,G,T,Authentic,D,D,Plagal,Plagal,G
"DC0705.1: Soleil qui tout voit par ma foy,",DC0705: Soleil qui tout voit par ma foy,None,,D,None,Plagal,None,B-flat,None,Authentic,G
"DC0409.6: Pour ne servir aulx amoureux d’exemple,",DC0409: Jamais amour n'aura ceste puissance,Ct,"Displaced, Inverted",D,S,Authentic,D,None,Plagal,None,D
"DC0409.5: Contente suis désormais n’estre rien,",DC0409: Jamais amour n'aura ceste puissance,,,D,,Plagal,G,D,Authentic,Authentic,D
"DC0409.2: De commander à ce qui n’est plus sien,",DC0409: Jamais amour n'aura ceste puissance,S,,G,T,Authentic,B-flat,D,Authentic,Plagal,D
"DC0409.1: Jamais amour n’aura ceste puissance,",DC0409: Jamais amour n'aura ceste puissance,S,,B-flat,T,Authentic,None,G,None,Authentic,D
"DC0408.8: Plaisir, prouffit, honneur, advancement.",DC0408: Amour se doibt figurer une rose,S,,G,T,Authentic,D,None,Plagal,None,G
"DC0408.7: Mais d’amytié l’on en peult retirer,",DC0408: Amour se doibt figurer une rose,None,,D,None,Plagal,D,G,Authentic,Authentic,G
"DC0408.6: A quelque fin, pour un contentement ",DC0408: Amour se doibt figurer une rose,S,,D,T,Authentic,B-flat,D,Authentic,Plagal,G
"DC0408.2: Dont pour un temps l’odeur on peult tirer,",DC0408: Amour se doibt figurer une rose,S,,G,T,Authentic,D,B-flat,Phrygian,Authentic,G
"DC0408.1: Amour se doibt figurer une rose,",DC0408: Amour se doibt figurer une rose,Ct,,D,None,Phrygian,None,G,None,Authentic,G
DC0407.8: Amour se doibt figurer une rose.,"DC0407: Plaisir, prouffit, honneur, advancement",S,,G,T,Authentic,B-flat,None,Authentic,None,G
"DC0407.7: Feust un rosier, lors dirois sans nul craindre,","DC0407: Plaisir, prouffit, honneur, advancement",S,,B-flat,T,Authentic,B-flat,G,Authentic,Authentic,G
"DC0407.6: En une fleur, et que mortelle chose","DC0407: Plaisir, prouffit, honneur, advancement",S,"Displaced, Evaded",B-flat,Ct,Authentic,G,B-flat,Authentic,Authentic,G
"DC0407.2: Maintz gens ont eu pour à l'amour attaindre,","DC0407: Plaisir, prouffit, honneur, advancement",S,,G,T,Authentic,D,B-flat,Plagal,Authentic,G
"DC0704.6: Avoir pour soy, ô conqueste excellente,",DC0704: Mon ami est en grace si parfaict,Ct,Displaced,D,B,Phrygian,G,None,Authentic,None,D
DC0704.5: Car comme moy un chascun le desire,DC0704: Mon ami est en grace si parfaict,S,Incomplete,G,T,Authentic,G,D,Authentic,Phrygian,D
"DC0704.2: Que d'un chascun à soy le cœur il tire,",DC0704: Mon ami est en grace si parfaict,S,,G,T,Authentic,D,G,Authentic,Authentic,D
"DC0704.1: Mon amy est en grace si perfaict,",DC0704: Mon ami est en grace si parfaict,T,"Displaced, Inverted, Evaded",D,Ct,Authentic,None,G,None,Authentic,D
